"","review_text"
"1","Very easy to understand and learn the basics.
However, there were a few typos that caused confusion.

Update 3/3/2020
Company got in contact and corrected the errors that I found."
"2","Good examples and useful for coding beginners or experienced people who are wanting to learn SQL. 80% of the book is on querying approaches, and the last sections are on views and database record updating. If you type and work all examples and do all challenges, maybe 15-25 hours of work depending on your skill...but a very productive 15-25 hours."
"3","I got the printed version. The e-version is probably just as good. This book enabled me to learn to do basic SQL queries. I'm not a techy person by any means, and I took several online tutorials, but found them confusing. I was unable to do the ""homework"" except for the most simple problems.

After using the book, I was able to query what I needed from my databases at work. I even surpassed the queries that others had done before me by cleaning them up.

The reason I give 4 stars instead of 5 is that some of the lessons didn't work in my DB. Some of the functions are different in different versions of SQL.

I'd highly recommend this if you're a beginner with queries. Downloading the practice DB is easy. It was also helpful for me to learn a bit of DB background and syntax that the other online lessons didn't address."
"4","Great book! Includes free audio book, sample database, SQL Software download, SQL statement references, and video tutorials."
"5","I've done a fair amount of programming in Java, storing and retrieving data through jdbc and various database vendors. After reading this book, the database, and SQL in particular, have now become far more interesting. It's the way the book is written. The author describes the importance of data in a free and unpretentious language. Explanations are not tedious - they are interesting and useful. So much talk about NoSQL today, but after reading this I'm going to dig into more SQL."
"6","Fantastic beginner reference. Easy to understand and most importantly PRACTICAL with examples and exercises to do. I have had a couple of starts and stops with SQL, but this was easy to stick to...and the best reference for going back to. Thank you!!"
"7","My wife will write this review:
I have an accounting degree. The one thing I wish my college had focused more on was the software frequently used by accountants/accounts payable employees. After reading this book, I feel as though I could easily use SQL in a work setting. I can put it on my resume to say that am ""knowledgeable"" in the software. Although I still have no experience, I can get an employers attention by stating that I know how to use the software.

I think this is good for someone who needs to know enough to get started. I've never worked with the software before in my life. So it's definitely a good beginners guide. The descriptions are clear and concise. I will probably keep it as a reference guide for any job in which I use this software.

It is not overly long so it doesn't take days to sift through complicated material. Overall, a great purchase."
"8","This book is really good if you are looking for a beginners guide in sql this would be the book i would choose. This has the very basics in sql like how to create, insert and delete tables in a sql database. It also gives us knowledge on how to pose queries that we are dealing with in sql. How to join tables and read the questions and how to convert them into sql queries. There are many examples and practice exercises to get a complete grip on sql commands and queries. If you are beginner in computer sciences and would like basic knowledge on databases and sql i would highly suggest buying this book. It also has complex commands and the end for creating views for your queries which are very good. It also helps you understand normalisation and how different companies use different normalisations and helps classify them so you get a good understanding on the topic. I do not see any complaints on the contents of this book so i am giving it 5 stars. I got this product for free in exchange for a unbiased review of the book. It took me a month to go through the book and gave it best unbiased review."
"9","I am self-taught, but very rusty. This book does a great job of providing the basics of SQL query writing and gives good explanations. The data set that comes with it is also nice. My one complaint is that there are typos throughout the book, some of which caused confusion, but I was able to figure it out. Another reviewer also commented on this and said the typos were fixed, but it doesn't seem to be the standard file that is downloaded from Amazon - hence the 4 out of 5 rating. I still highly recommend this book for anybody wanting to learn or brush up on their SQL skills.

It would be nice if there were some more advanced queries added to the book or otherwise provided by the publisher. However, to the publisher's credit, when I did ask about this they sent a great email providing several sites that I could go to for further SQL development."
"10","I've been through more than 2/3 of this book and it has been excellent. The instructions are very clear and it is giving me an excellent introduction to SQL."
"11","I'm about halfway through this book. I have a condition that makes it hard to read. This book does a good job of teaching SQLite but spends too much time stressing the importance of comments and style. I agree, that these things are important, however, not to the audience of the book.

The reader would have been better served by getting into the grit of SQL syntax and which keywords to use when versus ensuring that every query had a comment block with name, date, and description. Moreover, requiring every reader to download a prewritten database to work from and special utilities to follow along takes away from the learning experience.

That said, you will learn the basics about SQLite, and by the end of the book be able to handle most problems you'll encounter when developing an application."
"12","It's a well-written introduction to the language, and it features some useful explanations and definitions, especially about the aggregate functions. It was useful to help me get back into SQL after a year off filling my head with Python. It loses a star, however, because = ( 'it a book about SQLite' AND 'it is deceptive about this point' )

Now, SQLite is actually great to learn SQL concepts with (I did this myself a few years back), but the book and/or advertising donesn't make note of this. The book just proclaims itself as 'SQL', even though SQLite lack some features of the full-fledged SQL flavors. SQLite's training wheels are good for an absolute beginner (and the book is certainly a quality product), but I wouldn't have picked it up if I had known what I was purchasing."
"13","I have “used” sql at my job for many years now, but have never really understood it. I have always relied on other people to write my queries. This book puts it in layman’s terms. For example why the heck do they always use *. Hello, because it stands for all fields. Who knew. I didn’t until I read this book. If you have been exposed to SQL, but have never been trained on how to write queries, I strongly suggest you purchase this book. It is worth every penny."
"14","Positive: This has to be one of the easiest-to-read books on the subject. Material is well-organized and clearly explained.

Negative: Some material is grossly oversimplified. In particular: (1) There is no discussion of concurrency. (2) Although the book concentrates on SQLite, a key limitation of that product--limited concurrency--is never mentioned."
"15","I finished through the content of this book about a week ago and can say that this was a really great book. The chapters were to the point, not too dry, and really expanded my knowledge on SQL. This book is great for non-technical professionals who are maybe more focused on business management, accounting, or finance. I am going to continue to use this book as a constant refresher to the knowledge that I gained. Definitely a good purchase and would recommend this to anyone trying to further their knowledge when it comes to data and IT."
"16","I opted for a book over an online course and this was a really great choice. If you're just starting out in SQL and want a well-written, thorough but not dry guide, I highly recommend this product. You definitely need more practice than what the book offers, but there's lots of resources online for that."
"17","I bought this book to learn SQL, because I may need to use SQL in an upcoming work project. I have studied up to page 108 out of 180 pages.
So far, it is excellent. It starts with basic concepts and adds skills layer by layer. The database that comes free with it is full of interesting info. It has good practice examples."
"18","This is a very clearly written and excellent introduction to writing queries for databases. The included sample database and practice exercises in particular make it a superb learning tool. Things do not get very advanced however, and it is a relatively short book as far as technical tomes go. But for the vast majority of people looking to just pull data it may well be all you need.

If you hope to work as a full data analyst however you will certainly need to move on to more advanced learning resources after this."
"19","I got this to help me learn SQL. I had Oracle and decided to use this book to help me understand - the differences are not that big. I ended up installing SQLite, and I'm now using that instead of Oracle.

This book is very straightforward and easy to understand!"
"20","Sink hole of heavy-handed ads at book end allow no opportunity to opt out only allow to “accept and close.” I wanted not part of baited offers, gimmicks and attendant email avalanche, especially as access to promised downloadable assets failed to arrive. Disappointed."
"21","I'm new to coding and data analysis. This book has been very very helpful--clearly and economically written so that it functions well as both a textbook and a reference guide. Detailed solutions to all the exercises ensure that you will understand why they're done the way they're done. I chose this book out of all the other SQL manuals sight unseen based on reviews, and I'm very glad I did."
"22","I am so excited about this guide. I was apprehensive about learning SQL but with the simple step by step clear and concise explanations and instructions in this book, I learned more in a few hours reading the first few chapters than I have in the same amount of time from other videos and books. I needed a quick way to obtained this information to start a new career and I feel I am well on my way to accomplishing my goal as I develop my skills."
"23","I wanted to buy a handbook about SQL database management, turns out it's a fraud! The cover says SQL, but the content says 'the art of ritual!
Can you believe it?"
"24","Very well written and simple to understand. Very good starter for those that want to get some of the basic concepts down and jump right into practicing. If only some other topics can be written by this same author."
"25","I was looking for an overview of SQL so that I can talk the talk with my tech team and this fit the bill. It was a relatively short read with great examples. It can also serve as a good jumping-off point for anyone interested in learning more. There were a few typos as other have said, but nothing too egregious. Also, the links to the Northwind database and the free audiobook need to be updated though I didn't feel shortchanged by not having access to the database."
"26","The commands are taught for SQLite and every easy to follow (even covering all the pitfalls). But it is easy to translate them to Postsqlgre (just remember to have field names in quotation marks). The pace of the book is great and I learned a lot."
"27","Easy read and very informative. Gets you all the basics to start and enough complexity to make it worth while to read."
"28","I'm working through the kindle version while awaiting the paperback. The content seems good, but I would stay away from the kindle version. It reads like somone took the original text, cut it up in sections and then put those sections back in the wrong order. Very disjointed. I hope the hardcopy isn't like this."
"29","I love this book. The author takes a complex subject and simplifies it. He is easy to follow. I am so thankful for Walter Shields! You will be too, if you purchase this book. <U+0001F601><U+0001F44D><U+0001F44D>"
"30","The book is just brilliant! It is very well detailed, easy to understand with great examples and you get to practice with the actual software step by step, which makes it the perfect book for beginners and people who already have some knowledge in SQL. Before purchasing the book I tried with some online courses but they were just boring and lacked context which resulted in me leaving them aside.
Since I started reading this book I haven't stopped, the author made and excellent job writing it, as it's easy to read and very interesting.
This was a great investment and I would recommend this book to anyone who would like to start learning SQL."
"31","The book has everything I needed to understand the syntax and start working with SQL."
"32","This book does an excellent job providing an overview of the necessities in SQL. The author structures it in such a way that you can read from beginning to end, building skills along the way. Surprisingly, for a book on SQL, it is somewhat entertaining and easy/quick."
"33","Super helpful and effective format &tips!"
"34","This is a best seller for a reason. You can't make SQL any simpler than this. Well done brother."
"35","Well-written with a lot of examples and practice. The author has a common-sense approach which I found encouraging and not overwhelming."
"36","Well worth the money"
"37","SQL QuickStart Guide was an excellent read. I learned a great deal from the book and practice dataset. Thanks much."
"38","Really enjoying the content of the book. Gives great examples and breaks things down for a beginner to easily comprehend and follow. Would highly recommend this book. Looking forward to purchasing others in the future."
"39","I’ve used SQL before but it’s been years since I last used the skill set. This is definitely a great book for a refresher and even if you are a beginner. It covers pretty much everything you need to be successful in a career that involves SQL."
"40","This book is almost useless! It does not even teach you how to install or get access to database for practice SQL."
"41","The free promotional items the company offers you just for acquiring this product by yourself make it definitely worth the five stars I have offered it, as well as the product is amazing. I should start by remembering that I gotten this product about 5 days ago and I am currently halfway done with it. This is not a guide that explains the very essentials of pc programming and assumes that you already have a fundamental grasp of your fundamentals including arrays you definitely should if you are even slightest little bit interested in discovering SQL. It begins by teaching you in regards to what the program is, how it has become a highly valued skill on the planet, and why it is a far better programming language than others. It can make a terminology that most men and women consider very advanced and more and more difficult the more you employ it very simple to grasp in a way that could potentially change your entire career. I am not much of a computer science expert myself and have only a basic idea of programming language, mostly java, but I surely could read this reserve and comprehend almost all of it without a difficulty. My pc science buddies are even surprised by just how much I managed to learn about this programming words that they think about impossible in such a short amount of time. I highly recommend this product if you have any attention at all in mastering a new coding language or maybe giving on your own another ability because they help it become very simple to learn. Disclosure: I received the product for free or on a promo discount for my sincere review and are generally 100% my very own opinions. Nonetheless everyone has their very own opinion on this product. I did not obtain payment aside from receiving the item at a cheaper rate and so i am not essential to give a good review. I understand how important my reviews are to people who are thinking about buying the product, because everyone ought to be looking at reviews just before they invest in a product. Things I include is what I actually take into account the product and my opinion by itself. My critiques accurately mirror my views on this product and then any 5 star product I might recommend to both my friends and family as well as purchase at full value. This disclosure is in line with the Federal Business Commission?s Guidelines on Testimony and Advertising. I provide genuine reviews that describe the merchandise it entirety both the positive and downsides (if there are any). [...]!"
"42","good"
"43","The book is a quick read of basic SQL - retrieving data, modifying data, data type, aggregate functions, conditional and logical operators. If you’re looking for a quick and interesting read in SQL, this is great option"
"44","Good Deal"
"45","The book is not in sync with details, Speaker is saying fig 6, unable to locate figure 6"
"46","Good for beginners and it helps me to revise toppics"
"47","The free promotional items the company gives you just for buying this product alone make it worth the five stars I have given it, and the product itself is amazing. I should start by noting that I received this product about 5 days ago and I am currently halfway done with it. This is not a book that teaches you the very basics of computer programming and assumes that you already have a basic grasp of the fundamentals such as arrays which you definitely should if you are even the slightest bit interested in learning SQL. The book begins by teaching you about what the program is, how it is becoming a valued skill in the world, and why it is a better programming language than others. It makes a language that most people consider highly advanced and more and more difficult the more you use it very easy to grasp in a way that could potentially change your entire career. I am not a computer science expert myself and have only a basic understanding of programming language, mostly java, but I was able to read this book and understand almost all of it without a problem. My computer science friends are even surprised by how much I was able to learn about this programming language that they consider impossible in such a short amount of time. I highly recommend this product if you have any interest at all in learning a new programming language or just giving yourself another skill because they make it very simple to learn.
I received this product at a discount in exchange for my honest review."
"48","So far easy to follow along. I am learning!"
"49","Easy to understand, step by step, and the practice SQL database is extremely helpful."
